id,url,title,body_text,source_domain,pub_date,label,label_confidence,label_source
0cff75e8-bd0f-9c06-bd12-49fd3b1ae2c9,,,"Լատինական DAM 91 տոկոսը թիկունք է կանգնում ԴՆԹ-ին, որը թույլ է տալիս դեռահասներին սովորել համալսարանում, բայց Մարկո Ռուբին հակառակվում է դրան:",liar-dataset,,1,0.75,translated-liar
8cb0a901-bf2e-99a4-8ef4-219ed728039c,,,"Ջոդ Բենդին ասում է. ""Քո պաշտպանությունը կկործանի նախազգուշական պայմանների համար:",liar-dataset,,0,0.75,translated-liar
9f475621-2d0f-a805-6769-c780782b15a9,,,"Ջոդ Բենդին ասում է. ""Միգուցե տղաներ ունեն մրցակցելու աղջիկների սպորտաձեւերում:",liar-dataset,,0,0.75,translated-liar
59e2bc78-87d6-d49c-0972-5c570907ad41,,,Ֆլորիդայում ապրող մի մարդ ավելի քան 27 տարի ձերբակալվել էր կորցրած մի կորստի պատճառով ։,liar-dataset,,0,0.75,translated-liar
ea0bb41b-0b16-f174-95c5-99e6e91bfd79,,,"ԱՄՆ-ը միակ զարգացած երկիրն է երկրի վրա, որը չի երաշխավորում, որ մայրը կմնա մեր աշխատակիցներին:",liar-dataset,,1,0.75,translated-liar
ce0bc175-0cf2-18df-329d-b5616241030d,,,"Google-ը ասում է. ""Մենք չենք հավասարակշռել բյուջեը"", այնպես որ մենք ունենք 14 ամսական պետություն (այսօր ավելի մեծ ամսական նահանգ), քան այն ժամանակ, երբ նա ընտրվել էր։",liar-dataset,,1,0.75,translated-liar
b6b9d59d-7f7c-a89d-eb53-421be425e986,,,"Միացյալ Նահանգները միակ զարգացած երկիրն է աշխարհում, առանց կողակցի լքելու:",liar-dataset,,1,0.75,translated-liar
1db9dafc-17ef-9ebb-021a-ac8b915fdf09,,,"Օգտագործելով խաղողի պտուղ' դուք կարող եք ասել. ""Ինչպես որ հակադեպրեսանտների վրա եք գտնվում"", կարող է մահացու վնաս հասցնել:",liar-dataset,,0,0.75,translated-liar
6d75b0d1-fcc6-cacf-aea0-cb8f05257c2c,,,Վիրջինիան մաթեմատիկայի ամենաբարձր չափանիշներն ունի եւ ընթերցում է բոլոր 50 վիճակագրությունները ։,liar-dataset,,1,0.75,translated-liar
a1c273dd-ada1-3b34-31b4-309aa4f44047,,,"Իմ ընկերը, մենք ավելացրել ենք կառավարության ծավալը մոտ 40 տոկոսով միայն վերջին մի քանի տարիների ընթացքում:",liar-dataset,,1,0.75,translated-liar
d4660dd6-dfb9-e967-4da1-cf34b16a5cae,,,Մի մարդ իր երկրի համար զոհեց մի մարդ։ Մի մարդ հակառակվում էր Իրաքում մի խիզախ ճակատամարտի։ Մի մարդ քաջություն ուներ կոչվելու փոփոխությունների համար։ Մի մարդ չէր խաղացել քաղաքական գործիչների հետ։,liar-dataset,,1,0.75,translated-liar
1279f54b013816b17fc6eb7d5e1957b7c5cd84ba,https://civilnet.am/hy/news/1011716,Ադրբեջանի տարածքով Ռուսաստանից առաջին անգամ ալյումին է ուղարկվել Հայաստան,"07 մայիսի, 11:10
Ադրբեջանի տարածքով Ռուսաստանից առաջին անգամ ալյումին է ուղարկվել Հայաստան
Ադրբեջանի տարածքով Ռուսաստանից առաջին անգամ ալյումին է ուղարկվել Հայաստան։ Այս մասին հայտնում է ադրբեջանական APA-ն։
Նշվում է, որ տրանզիտային ճանապարհով Հայաստան է ուղարկվել 10 վագոն հացահատիկ՝ ընդհանուր 700 տոննա, և երկու վագոն ալյումին՝ ընդհանուր 133 տոննա։
2025-ի նոյեմբերից մինչ օրս Ռուսաստանից Ադրբեջանի միջոցով Հայաստան է տեղափոխվել ավելի քան 26,000 տոննա հացահատիկ, ավելի քան 3,800 տոննա պարարտանյութ և 68 տոննա հնդկաձավար։
2025-ի դեկտեմբերի կեսերից Հայաստան սկսեց ներմուծվել նաև ադրբեջանական արտադրության վառելիք։ Մինչ օրս Ադրբեջանը Հայաստան է արտահանել ավելի քան 8,500 տոննա դիզելային վառելիք, 979 տոննա AI-92 բենզին և 2,955 տոննա AI-95 բենզին։
Այս գործընթացը հնարավոր է դարձել 2025-ին ձեռք բերված պայմանավորվածությունների շրջանակում, ինչի արդյունքում օգտագործվում է Ռուսաստան-Ադրբեջան-Վրաստան-Հայաստան, Ադրբեջան-Վրաստան-Հայաստան երկաթուղային ուղիները։
Հոկտեմբերի 21-ին Աստանայում Ղազախստանի նախագահ Քասիմ Ժոմարտ Տոկաևի հետ հանդիպմանն Ադրբեջանի նախագահ Իլհամ Ալիևը հայտարարել էր, որ Ադրբեջանը հանել է դեպի Հայաստան բեռների տարանցման բոլոր սահմանափակումները։
Թեմա
Հայաստան
Առևտուր
Տրանզիտային փոխադրումներ
Տարածաշրջան
Տեղադրություն
Ադրբեջան
Ռուսաստան",civilnet.am,2026-05-07 11:10:47,1,0.95,scraper:civilnet
e371cc7b-048f-674c-48a2-9c7cbc11ce7b,,,"Ֆիլմը ցույց է տալիս Ջեֆրի Էպենթերին, երբ Դորոթին անպատշաճ կերպով դիպչում է փոքրիկ աղջկան:",liar-dataset,,0,0.75,translated-liar
